content,score
"gamenya seru banget!aku sukaa dan serunya lagi kita bisa mabar sama temen, kenalan sama orang random, dan tentunya bisa cobain banyak map. tapi yang aku kurang suka itu roblox sering banget update, dan kalo aku ga update itu ada notif yang bikin aku gabisa mainn dan juga memo aku kalo trus² an update jadi penuhh.",5
"haloo, aku butuh bantuan banget buat bug yg ada di roblox, terkadang baju ku ndk ada jd telanjang gitu bikin agak gk nyaman mainnya, tolong diperbaiki ya terutama waktu main grow a garden itu sumpah ndk pernah muncul bajuku dr dulu bhkn jaringan oke dan hp jg gak ngelag, tolong perbaiki bug nya😭😭🙏🏻",3
"menurutku game ini cakep banget dan seru tapi sayang nya suka ngelag dan disini karena sering di perbarui aku jadi sering Gonta ganti akun dan jadi bingung gimana biar gak ngelag lagi pas main seru banget tapi kenapa wallpaper Roblox nya di ganti ya? kan udah bagus warna hitam menurutku game ini cuma 2 masalahnya 1,ngelag 2, di suruh perbarui Mulu dan aku capek saran ku ganti perbarui nya 1 bulan 2 kali ajaaaa biar gak capek",4
game udah bagus tapi ngotak dikit kek Wifi ku aja sudah bagus tapi malah Disconnected wifi bermasalah gimana sih wifi ku aja masih lancar apa apaan dah Roblox tolong perbaiki masalah itu padahal wifi ku lancar tapi tetap Disconnected nanti aku kasih bintang lima kalau udah perbaiki,3
"Game seru,cmn kalo main tiba² disconect padahal wifi aman, kenapaa ya? trs terlalu sering update,kadang² juga suka ga kepencet tombol loncat krna mungkin terlu kecil tombolnya.kalo bisa setiap ada yg iseng di map ban aj dri tower suka kesel klo ada yg isengg,juga tolong item item gratis nya banyakinn,item baru juga kalo bisa yang bagus baguss,maaf ya ngelunjak,tapi menurut aku roblox udh bgus kooo,tolong dibaca min😋😋",4
"game nya bagus tp knp setiap bulan itu selalu update.🥲 dan kadang kadang ada bung, layar gerak sendiri, dan kadang kadang ava nya ganti sendiri satu lagi lompatnya g bisa di tekan kadang"" mohon perbaikin,👏dan untuk orang yg suka trol di tower langsung kluarin aja biar yg lain tng udh itu aja semoga di baca sama developoler nya roblox",3
"seru banget game favorit ku ini, serunya tu banyak map nya,juga bisa Mabar sama teman, besti, Abang,kk, dll. juga bisa memiliki Avatar yg bagus bagus, sama yg pakai uang, gak papa sih kalau pakai uang Avatar nya yg penting bisa main, dan juga bagi yg suka milih² teman jangan ya, karena itu perilaku yg tidak terpuji, pikirkan perasaan seseorang dlu ya / berpikir dlu sebelum berbicara ya. pokok nya Roblox itu seru banget biarlah kalau ava kita GK berobux yg penting kita bisa memainkan game nya 😆",5
"Gamenya sih bagus bgt. Untuk grafik, model, semuanya udh lengkap. Game jg banyak, pokoknya seru! Tapi bug error dan freeze masih sering pdhl udh ganti hp😔 Tapi tetep seru, sih😁👌🏻 Udh main dari 2022, tapi kalo bisa gambarnya kembalikan yg dulu dong. Jelek loh Roblox yg warna biru kyk sekarang😒 ~Fadhlan",5
"untuk game nya bagus banget gak pernah bosen kloain ini, tapi bug nya di perbaiki tolong karena waktu keluar map masuk lagi ke map itu lagi tolong di perbaiki, tapi bug itu gk masalah yang penting game nya seru semoga di update tahun lagi lebih manjur gam roblox ini.",5
"ini game terbaik yang pernah aku mainin dari 2021, game satu satunya yang aku punya. karena banyak map nya dan bisa mabar. tapi di roblox juga ada beberapa bug seperti tiba tiba lagi asik² main keluar sendiri dan semacamnya. itu tolong diperbaiki, tapi roblox menurut aku kebanyakan update jadi lama lama nambahin mb nya ngebuat memori jadi penuh",5
"Bagus Game nya Saya sangat Suka dengan Grafik Yang BAGUS nya Dan sangat elegan Bagi. Saya 🙏🏻 cukup bagus,Tetapi Sayangnya Suka disconest Tiba Tiba ² grafik : Cukup bagus / Lumayan bagus game : Sangat banyak cukup memuaskan 🤭 bisa ? : Bisa mabar, Bisa ganti avatar, bisa top up SERU POLL deh KALAU GAK ADA TEMAN ? BISA AJA MAIN ROBLOX YA 🎀💛",5
Roblox ku kok sering black screen sih padahal kemarin enak enak aja kenapa eror gini dah padahal wifi lancar memo masih luas udah ku coba uninstall tetep ga bisa udah ganti akun tetep ga bisa kenapa sih pas masuk map juga loading nya lama tapi pas udah masuk ngebug padahal wifi lancar lancar aja tolong segera di perbaiki soalnya mau main grow a garden pliss😭😭🥲🙏🙏🙏,5
Gamenya seru tapi ada 2 bug pas aku Main kadang layarnya gak bisa digerakkin jadi harus keluar dulu terus kadang Main game pas aku keluar di game dalam roblox tiba tiba masuk lagi ke game nya tolong perbaiki kalau udah aku kasih bintang 5,3
"bagus sih bagus😊,tapi pas lagi mau login mainnya🗿.kayak lama dan karakternya nggak kelihatan juga🤔,ngeleg trus padahal jaringannya bagus.mau maju tapi malah maju trus Sampek jatuh😇.ToLoNG Perbaiki Roblox nya,GK bisa main lagi aku niii.trimakasih..",3
assalamualaikum warahmatullahi wabarakatuh aku bilkis menyampaikan bahwa game nya bagus terutama tower nya tapi masih ada yang kurang yaitu masih ada bug nya :( tapi gapapa aku tetep seneng kok soalnya kalo aku gabut bisa mainin game walaupun biasanya agak ngeselin ya kalau udah capek-capek main tower tiba-tiba jatuh sampe dasar :) yang aku mau itu tolong banget ya Roblox bug nya ituloh di benerin ya biar semua orang kalo mau main Roblox bisa tenang main nya ok.. sekian dari saya assalamualaikum,5
gamenya seru banyak map yang update karna tiktok misal di tiktok ada Velocity langsung di buat map-nya keren keren lagi map-nya gw sih recommended banget ya gak ada yang kurang paling attitude pemainnya aja dan harga robuxnya woii bikin nangis tapi untung ada golroblox ya di situ murah murah terpercaya lagi hihi padahal game ini bagus untuk bocil tapi banyak orang dewasa/remaja juga main karna emang cocok ajaa hihi pokoknya bagus banget deh sekali lagi recommended banget hihi,5
"jujur aku suka banget sama game roblox, ga pernah bosen kalau main roblox ini deh, tapi tolong developer perbaiki sedikit bugnya, kadang setiap main masalah yg saya alami itu 1. tombol jump kdg ada kdg engga apalagi di map graw a garden dst 2.layar sering berputar² 3.jaringan ga stabil bgt padahal mah sebenarnya bagus 4. saat berjalan kameranya ikutan bergerak 5. pokoknya lumayan bnyk bug deh, tapi mohon diperbaiki juga iya hanya ini saran saya terimakasih ❗ smoga game ini menjadi yg terbaik 👍",5
"Roblox seru banget! Awalnya cuma coba-coba, tapi sekarang malah jadi main hampir tiap hari. Banyak banget game yang bisa dimainkan, dari yang santai sampai yang bikin mikir. Serunya lagi, kita juga bisa bikin game sendiri kalau mau. Grafiknya mungkin nggak realistis banget, tapi justru itu yang bikin unik dan khas. Pokoknya recommended banget buat yang suka main game bareng teman atau cari hiburan yang nggak ngebosenin😆",5
"roblox nya udah bagus.. cuman ada beberapa gangguan aja.. ke.1 bug camera.. ke.2 kadang suka jalan sendiri.. ke.3 lag.. ke.4 shirt,pants,dll blur.. semoga aja bisa di perbaiki lagi masalahnya.. Tolong developer roblox perbaiki lagi apk nya.. segitu aja Terimakasih..🙏🏻🥲",4
"game yang menarik perhatianku sejak tahun 2017, dulu aku kenal game ini dari seorang youtuber bernama beaconcream, yang isi channel-nya tentang game Roblox dan genre Roblox banyak, ada tycoon, horror, racing, survival, adventure, classic, two player dan lain lainnya. Tapi kumohon pihak Roblox semenjak update, entah mengapa jadi aneh, teman temanku yang sudah tidak main tapi di display nya masih main. Internet lancar dan hp ram 8 kumohon pihak Roblox",4
"Game ya seru banget tapi ada berapa bug waktu mau main tower/map lain tiba-tiba keluar sendiri, waktu mau bikin akun roblox ya layar ya item udah nunggu 1 jam gak berubah layar ya",4
"LOPYUU ROBLOX🧚, yg nemenin aku waktu ksepian, untuk game nya jujur ak sukaa bngt, ini salah satu game prtma yg aku mainin, di tahun 2021, pokonya game ini gda kurang nya, it's ok klo buat nglag, krena emg sinyal bwaan, tapi kdang kalo lagi main, kamera nya kaya ga bisa di arahin gtu, kalo mau arahin ke kanan or kiri, suka ngezoom gitu, tapi kalo skrang si udh jrng, paling 3 ato 4 kali lah dulu, skrang mah lncar kalo di hp aku, mnrut ak si itu hal biasa, tinggal leave nd msuk lgi, see youuu🤸",5
"Gamenya bagus! ada banyak map yang tersedia seperti parkour, FPS, chill game, dan masih banyak lagi. Keseluruhan sudah bagus, tetapi saya mempunyai saran untuk game ini, mungkin Roblox bisa menambahkan opsi 𝗸𝘂𝘀𝘁𝗼𝗺𝗶𝘀𝗮𝘀𝗶 𝗸𝗼𝗻𝘁𝗿𝗼𝗹 pada menu setting, dikarenakan pada beberapa device terdapat tombol yang terlalu mepet kesamping layar (𝘼𝙣𝙙𝙧𝙤𝙞𝙙/𝙄𝙊𝙎) sehingga kadangkala tombol tersebut susah untuk dipencet. Walaupun ini adalah fitur kecil, tetapi sangat berpengaruh. Thanks 🙏",4
"ah ini game fav aku banget sih, map nya ada banyak jadi aku ngga pernah bosen pas mainin! astaga cuman aku gaada temen mabar plis💔, yaa minus nya sih bug nya ya, kayak tiba tiba keluar dari map tanpa alasan + pas mau keluar dari map malah masuk map nya lagi gitu. tolong bug nya di perbaiki ya roblox",4
"game ini bagus cuman banyak bug nyaa, tapi overall udah good lah , semoga nanti bug nya dihilangkan dan kadang-kadang suka nge crash sendiri gamenya dan kadang-kadang saat mau main koneksi bermasalah padahal koneksi internet saya biasa aja terus pas updet ga bisa padahal penyimpanan saya tidak penuh, untuk roblox tolong ya perbaiki biar bisa lebih bagus dan baik lagi, saya dan adik saya juga suka main roblox cuman terkadang ada yang bermasalah jadi kaya kita ga mood main lagi yaudah segitu aja",5
"game ini seru bngt,apalagi bisa mabar dengan temen dan pertemanan nya bisa lebih dari 200 tapi menurut aku bug nya tolong diperbaiki,soalnya kadang kadang dia lompat lompat sendiri dan masih banyak lagi,walaupun banyak bug tpi aku ksih bintang 5 karena diroblox ini banyak sekali map yg bisa kita mainin.",5
tolong diperbaiki soal error mengenai game roblox di dead rails: 1. Main di solo masih disconnect terus dan ga bisa masuk lagi di dalam gamenya harus ulang dari awal? 2. Karakternya saat diam beberapa saat kadang geser geser sendiri? 3. Di zona safe sebaiknya tetap pake turret otomatis hanya pelurunya diperbanyak karena meskipun di beri penjaga akan tetapi tembakannya para penjaga ga akurat sering meleset dan mati? 4. Di pengaturan resolusi tertinggi dan fps 60 masih ngelag?,5
"sebenernya bagus , banyak map yang bisa di mainin disini , map nya juga bagus bagus , gada kurang , tapi gatau kenapa beberapa minggu ini saya gabisa masuk beberapa map , kaya peta peta sekolah , koridor , dan banyak lagi , perasaan waktu dulu gada masalah deh , ini kenapa roblox jadi gini ya? saya udah update , saya juga udah upgrade , gabisa masuk trs ada tulisan koneksi terputus , padahal wifi saya ga lag sama sekali jaringan nya lancar gada masalah sama sekali , tolong ya ini roblox sya knp?",5
menurut ku sih ini udah bagus cuma kurang nya itu di bug aja kadang sering bikin jatuh contoh 1. kadang kalo jalan lurus sering ke kiri ke kanan sendiri 2. sering kode eror ada tombol keluar sama hubungkan kembali padahal internet bagus 3. kadang gak bisa gerakin kamera nya 4. setiap 30 menit sekali pasti nge bug tapi aku tetep suka kok sama game nya karna aku pecinta Roblox tapi tolong ya di perbaiki lagi aku kasih nilai nya 💯 game ini juga seru bisa ganti ganti map gak bikin bosen,5
"bgs bgt game ny, dan seru.. tp roblox suka ngelag² tolong diperbaiki game nya, dan suka koneksi terputus dihilangkan, tolong, apalagi suka jalan sendiri pas jatoh di map obby, jd susah parkour nya, aku jg sering ad bug ny, tp, gk lm kemudian mulai hilang, bugny, tp kadang² msh suka jalan sendiri karakternya itu.. tolong diperbaiki ya, udh bgs gamenya roblox, sekali lagi, tolong diperbaiki segera ya roblox😊",5
"Bagus bgt gamenyaa, tapi ada beberapa bug yg aku gk suka 1. Suka ngelag padahal jaringan bagus 2. Kadang suka disconnect 3. Tombol lompat kecil 5. Kadang gak bisa masuk ke game yg ada di roblox nya. udah sih gitu doang pendapat aku, semoga bisa diperbaiki yaa",5
"ini bisa diantara bagus dan juga ngeselin soalnya banyak bug, misalnya pas mau masuk roblox layar hitamnya tuh lama, lagi asik² main malah disconnect padahal sinyal bagus, terus lag jalan di tempat sama loncat sendiri malah makin parah😔 ini gamenya udah bagus cuman bug nya masih banyak jadi bug² nya tolong di perbaiki lagi... soalnya player lain juga bisa² nya mengalami hal serupa. aku kasih bintang 4 soalnya gamenya bagus👍tinggal bug nya aja yang di perbaiki.",4
"game nya bagus, tapi suka nge bug gitu,kayak suka disconnect padahal internet bagus,suka spam lompat sendiri,kamera gerak sendiri padahal gak digerakkan. ini tolong banget kalau notif minta pertemanan jangan dekat tombol lompat soalnya kalau lagi main Obby atau tower jadi jatuh. tapi gamenya seru sih, banyak map juga dan bisa menambah teman online dari berbagai negara. itu aja sih, berkembang terus roblox✨",5
"game nya bagus banget tapi ada beberapa bug saat bermain 1.kenapa karakter nya itu sering gerak/jalan sendiri padahal gk diapa apain 2.kadang kameranya sering gk bisa di zoom atau di geser ke arah yang kita mau.itu saja ulasan saya, semoga ROBLOX membaca ulasan ini. 😊😊",5
"gamenya seruh, asik juga, bisa main sama temen jauh maupun dekat, mapnya bagus' banget, mapnya juga banyak, terus karakternya banyak juga tapi bayar sih tpi gpp. yang saya tidak suka adalah, orang orang jaman sekarang ini selalu memakai SCRIPT atau (DELTA) yang dimana, membuat player' lain menjadi kesal dan risi. Apalagi kalo pakenya udah kelebihan banget. Tolong untuk roblox, tolong jangan diizinkan lagi termasuk SCRIPT atau yang disebut memakai (DELTA). tolong di perbaiki lagi. makasih....",2
"SEBELUM NYA MAAF YA ROBLOX AK KASIH BINTANG 3... soal game nya bagus and untuk map nya juga ga itu itu aja, cuman masalah yg aku alamin pribadi ini nih, kenapa ya, padahal pas sebelum di update pakaian di market place nggak ngeblur pakaiannya, tapi kok setelah di update jadi blur ya? sampai masuk map juga jadi blur, kenapa itu, mohon di perbaiki ya roblox, soalnya jadi ga nyaman kalo maen roblox pakaian nya blur, ga enak di pandang, oke itu aja, terimakasih, semoga cepet di perbaiki deh bug nya",3
"game nya bagus bgtee ^__^ , aku kasi rating 5 . . . aku sekarang jadi suka main roblox karena semakin di upgrade semakin bagus/ga lag an lagi kaya dulu :0 , jadi karena menurutku game nya bagus, lucu juga banyak map lucu gitu =3 , bisa mbar, pokoknya seru deh kalian wajib install game ini && cobain map yang seru seru yang kaya evade, hide n seek, itu menurutku seru bgt sie apalagi sambil masang lagu spotify 💞. . jadi menurutku itu aja, kalian bisa mendeskripsikan game ini sndiri, loafyu 💕",5
"game nya bagus, tapi tolong tambahin fitur tombol kostumisasi tidak enak banget tombol robloxnya tombol lompat kekecilan dan terlalu di pojok dan tolong fix bug camera nya nyebelin banget udah dari dulu tidak di fix",4
"okee aja sii tapii.. ini ko Roblox akhir akhir ini sering banget ngebug ya? aneh bet dah trs juga sering banget update lagi pdhal udh hapusin semua memori yang udh membuat memori penuh, udh update nya lama trs juga ga ke update mulu, pls la dlu roblox ga sebug ini ko tbtb bug banget si? pls ini sangat aneh!",2
"game nya sih seru,tapi aku ga suka nya,ada bug yang muncul,dan lag yg bikin malas main, tapi yg bikin ga bosan itu map nya!,karena map nya itu banyak,dan seru map diroblox seru untuk dimainkan,jdi Roblox mohon diperbaiki lagi bug dan lag yg bikin marah dan malas,.",4
"Menurut aku, Roblox itu game yang seruuu bangett apa lagi bisa dimainkan bersama teman kita, map yang ada didalamnya juga banyakkkk bangett dan gaakan pernah bosen. Meskipun ada sedikit bug didalam gamenya tapi kalo menurut aku gapapa sihh soalnya kan pasti pencipta Roblox bakal mengupdate terus agar gamenya menjadi lebih sempurna lagi. Dan aku bakal kasih rate 💯 untuk roblox ini🤗",5
Menurut aku ini game yang paling bagus punyaku yaa soalnya banyak pilihan map disitu dan aku suka banget sama tower yang dll seru banget tapi suka ngelag sih cuman itu tuh karena aku lagi ngerecord soalnya kan aku punya channel youtube jadi aku suka ngerecord seru brookhaven juga bisa roleplay bisa bikin drama roblox seruu 😋🫶,5
"Ini game bagus banget sihh❤️❤️,dari 2024 agustus ak mbr sm tmn tmn ak di game ini ,cuman aku gatau ini bug apa bukan....mesti kalau keluar dari map roblox atau mau pindah map lain,selalu masuk lagi ke map nya berulang kali,makin lama makin kesel😅 tapi it's okey lah dulu g pernah gini sih,,pokoknya game nya seru buat cari tmn baru 😄 ak juga kalau gabut main roblox hehe😆.segitu aja sih rating dari aku yaa 🥰",5
gem nya seru dan sepertinya defelofer nya ngeliat ini deh karena pas itu aku nge kasih rating dan komentar game nya banyak bug dan kadang suka error error nya itu kadang gak bisa masuk game nya lagi dan akhirnya aku bisa masuk kapan pun game nya banyak game favorit ku itu game survival game yang bertahan hidup atau nge build atau bisa disebut membangun sesuatu jadi kukasih bintang 5 !!! untuk game ini game roblox!!!,5
"sangat seru dan menarik tapi dikit -dikit ngelag nge bug tapi aku tetap seneng main game ini seru banget grafiknya keren banget dan battlegroundsnya jurus - jurusnya keren banget meskipun ngelag dan nge freez pas lagi main,meskipun ngelag dan gebag aku tetapi ingin melanjutkan petualangan digame ini , ( sebenarnya masih ada yang aku omongin😅 tentang roblox tapi segini aja dulu terimakasih😄roblox yang terbaik👍sejak dulu",5
"Aku suka bgttt sama roblox ,pokoknya seru deh ada banyak map terus aku rekomen main grow a garden sama brookhaven sih buat player pemula sama tower of jump sama floppy tower nah Aku ga suka nya itu kadang² sering game paused sama disconnect pas baru aj masuk Padahal koneksi/jaringan ku bagus² aj , trus kalo mau login susah banget buat yakinin klo manusia Bukan bot , Terus aku ga suka bgt sama org yang Online dating di Game roleplay jijik tau 🙍🏻‍♀️😭",5
game nya bagus bgtt...👍 aku suka bgt sama Roblox tapi cuma satu aja yg aku gasuka yaitu tombol lompat nya ...bisa dibesarin dikit ga?pas main tower udh mau menang eh malah jatoh gara gara ga keteken lompat gara gara terlalu kecil buat aku ....😥tapi Ini sih game yg aku suka bgt...,4
aku sangat suka perjalanan ini ada banyak map baru di dalam permainan Roblox dan juga banyak karakter dan skin yang belum ku ketahuilah stiap hari aku mainkan game ini🥰game yang seru dan menarik. tapi ada saja big nya 1.saat bermain Grow a garden aku tidak bisa mengendalikan analog nya. dan tolong perketat keamanan nya dari para hacker 👍,5
"game ini bagi para pemain bakalan gk pernah bosan, kenapa game ini seru bgt. Aku, adekku, kk, abg, pokok nya semua saudara' ku main nya roblox semua sampai aku bergadang mainnya karena serunya minta ampun. pokok nya kalian wajib punya roblox ini karena banyak maps yg bisa kalian mainin kyk ""free fare, dan masih banyak lagi"" yg paling menyenangkan adalah tower karena bisa meningkatkan keseimbangan dalam bermain. POKOK NYA KALIAN JANGAN LUPA MAIN ROBLOX🥰",5
Menurutku sih roblox udah bagus tapi kayak masih ada bug yaitu loncat loncat sendiri terus kayak kameranya kadang kadang gk bisa digerakkin gitu loh dan itu agak menggangu saat bermain game. Dan thats it itu doang yang aku sampaikan semoga diperbaiki terus ya :),5
"untuk n secara keseluruhan sih bagus tapi kenapa ya semenjak update android 15,dan logo nya berubah warna malah turun sih peformanya? fps yang awalnya 60,1 menit kemudian malah turun dan stuck ke 44 fps dan tidak naik naik. semoga ini hanya bug. mohon roblox di perbaiki masalah ini dan secepatnya",4
"game di roblox sebenernya sangat seru seru dan menarik tetapi gatau kenapa akun saya selalu diganggu alias di hack dan ini sudah terjadi di 4 akun saya. hack tersebut berupa seperti ancaman lewat nama atau mungkin bisa menghapus friends friends saya, mengacaukan di dalam game tersebut, mengrubah kostume yang kita pakai dan masih banyak lainnya. mungkin dari ituh dapat untuk tingkat kan kembali keamanan dari akun dan dapat diperbaiki kan lagi bug bug yang didalam game !!!",4
"uhh ,sebenarnya robloxnya sih seru cuman yang bikin kesel itu kita mau main map nya itu gak bisa masuk dan cuman di situ situ aja ,aku sampai coba berulang kali tapi gak bisa gak tau kenapa padahal sebelumnya itu lancar lancar aja ..tapi semoga di perbaiki aku harap bisa masuk ke map-nya dengan lancar terima kasih....",4
"ya bagus bagus aja sih ya,tapi kalo masuk map,beuhh,lama bet, terutama gag,padahal masih seru bgt loh,padahal penyimpanan hp ku itu Gak penuh?tapi karena sering bikin aku badmood dan jadi males main Roblox,jadi aku kurangi bintang nya,kalo udah membaik,aku kasih bintang 5 lagi",4
"Seru, asik buat dijadiin game mabar sama temen atau bahkan nyari temen. Tapi ada satu bug yang ganggu... yaitu bug fitur join, Soalnya setiap aku mau join temen aku itu beda game sama game yang sebenarnya dimainkan temanku. Misalnya temanku sedang bermain Grow A Garden, tapi saat aku mau join dia malah lagi main Adopt Me padahal sebenarnya tidak. Adalagi satu bug yaitu akun diroblox kita selalu online saat tidak bermain roblox. Tolong tanggapannya Roblox, terima kasih!",4
